,name,link,employer,salary_min,salary_max,salary_currency
91,"FullStack Developer (Python Django, React)",https://hh.ru/vacancy/42959540?query=Python, Supernice,270000.0,,руб.
92,Junior Data Analyst,https://hh.ru/vacancy/42886507?query=Python, HASH CIB,,,
93,Python разработчик,https://hh.ru/vacancy/41095804?query=Python, ВАВТ МИНЭКОНОМРАЗВИТИЯ РОССИИ,100000.0,160000.0,руб.
94,Senior Python developer,https://hh.ru/vacancy/41263186?query=Python, Rutube,200000.0,,руб.
95,Ведущий специалист по Machine learning,https://hh.ru/vacancy/42202946?query=Python, Адалиск,250000.0,,руб.
96,Data Engineer (Python),https://hh.ru/vacancy/42432726?query=Python," Prisma Labs, inc.",,,
97,Разработчик (Python),https://hh.ru/vacancy/40551245?query=Python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,100000.0,160000.0,руб.
98,Python Программист разработчик,https://hh.ru/vacancy/42676588?query=Python,ООО РНД поинт,,,
99,Teamlead Backend (Python),https://hh.ru/vacancy/40840868?query=Python,ООО Фабрика Решений,120000.0,300000.0,руб.
100,Quantitative developer (HFT developer),https://hh.ru/vacancy/43005025?query=Python, Cindicator,,400000.0,руб.
101,DevOps Engineer,https://hh.ru/vacancy/42301915?query=Python, ZAVOD Games,170000.0,250000.0,руб.
102,Senior Backend-разработчик (Python),https://hh.ru/vacancy/41649102?query=Python, Hoodies,200000.0,320000.0,руб.
103,Python разработчик,https://hh.ru/vacancy/42855358?query=Python, Digital Hub,90000.0,110000.0,руб.
104,Python разработчик,https://hh.ru/vacancy/42766512?query=Python, Филиал компании Лист Ренталс Лимитед,1500.0,4000.0,USD
105,Python-разработчик,https://hh.ru/vacancy/43002250?query=Python, IVIDEON,170000.0,230000.0,руб.
106,"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39736489?query=Python,ООО Фабрика Решений,60000.0,150000.0,руб.
107,Python / C++ разработчик,https://hh.ru/vacancy/42783010?query=Python, Wunder Fund,150000.0,200000.0,руб.
108,Программист-математик/Алгоритмист (США),https://hh.ru/vacancy/42251823?query=Python,ООО Parascript,,7000.0,USD
